,Event.Id,Investigation.Type,Accident.Number,Event.Date,Location,Country,Injury.Severity,Aircraft.damage,Aircraft.Category,Registration.Number,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,FAR.Description,Schedule,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Report.Status,Publication.Date,Date,Accident.Category,injury.rating,damage.rating,State
68,20020917X02341,Accident,MIA82DA032,1982-01-10,OKEECHOBEE FL,UNITED STATES,Non-Fatal,Destroyed,Airplane,N567V,PIPER,PA-23-250,No,2.0,Reciprocating,Part 91: General Aviation,,Unknown,0.0,2.0,0.0,0.0,UNK,Approach,Probable Cause,10-01-1983,1982-01-10,Serious,2,3,FL
69,20020917X02158,Accident,LAX82DA041,1982-01-10,BULLHEAD CITY AZ,UNITED STATES,Non-Fatal,Destroyed,Airplane,N2753J,CESSNA,172N,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,0.0,0.0,0.0,4.0,VMC,Landing,Probable Cause,10-01-1983,1982-01-10,Minor,1,3,AZ
70,20020917X01882,Accident,CHI82FA025,1982-01-10,WHEELING IL,UNITED STATES,Non-Fatal,Destroyed,Airplane,N6995Y,PIPER,23-250,No,2.0,Reciprocating,Part 91: General Aviation,,Personal,0.0,0.0,0.0,2.0,IMC,Takeoff,Probable Cause,10-01-1983,1982-01-10,Minor,1,3,IL
72,20020917X02305,Accident,LAX82FUQ07,1982-01-10,MOJAVE CA,UNITED STATES,Non-Fatal,Substantial,Airplane,N2644Q,CESSNA,TU206F,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,0.0,0.0,4.0,0.0,VMC,Landing,Probable Cause,10-01-1983,1982-01-10,Minor,1,2,CA
74,20020917X01623,Accident,ANC82DA013,1982-01-10,QUINHAGAK AK,UNITED STATES,Non-Fatal,Substantial,Airplane,N756YN,CESSNA,U206,No,1.0,Reciprocating,Part 135: Air Taxi & Commuter,NSCH,Unknown,0.0,0.0,3.0,0.0,VMC,Cruise,Probable Cause,10-01-1983,1982-01-10,Minor,1,2,AK
75,20020917X01985,Accident,DEN82FTI10,1982-01-11,NEAR BOZEMAN MT,UNITED STATES,Non-Fatal,Destroyed,Airplane,N7273J,PIPER,PA-28-140,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,0.0,1.0,1.0,0.0,VMC,Cruise,Probable Cause,11-01-1983,1982-01-11,Serious,2,3,MT
76,20020917X01965,Accident,DEN82FA017,1982-01-11,RIVERTON WY,UNITED STATES,Fatal,Destroyed,Airplane,N6558A,CESSNA,210N,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,4.0,1.0,1.0,0.0,IMC,Takeoff,Probable Cause,11-01-1983,1982-01-11,Fatal,3,3,WY
77,20020917X01982,Accident,DEN82FTE16,1982-01-11,SAQUACHE CO,UNITED STATES,Non-Fatal,Substantial,Airplane,N2332C,CESSNA,180,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause,11-01-1983,1982-01-11,Minor,1,2,CO
78,20020917X01715,Accident,ATL82DKJ09,1982-01-11,AUBURN AL,UNITED STATES,Non-Fatal,Substantial,Airplane,N424VW,CESSNA,310L,No,2.0,Reciprocating,Part 91: General Aviation,,Personal,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,11-01-1983,1982-01-11,Minor,1,2,AL
81,20020917X01750,Accident,ATL82FKQ09,1982-01-12,ABERDEEN MS,UNITED STATES,Non-Fatal,Destroyed,Airplane,N7706,CESSNA,414,No,2.0,Reciprocating,Part 91: General Aviation,,Personal,0.0,0.0,3.0,0.0,UNK,Descent,Probable Cause,12-01-1983,1982-01-12,Minor,1,3,MS
82,20020917X02111,Accident,FTW82FPA10,1982-01-12,ADDISON TX,UNITED STATES,Non-Fatal,Substantial,Airplane,N8678M,BEECH,P35,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,0.0,1.0,0.0,1.0,IMC,Descent,Probable Cause,12-01-1983,1982-01-12,Serious,2,2,TX
85,20020917X02120,Accident,FTW82FPJ11,1982-01-13,WATONGA OK,UNITED STATES,Non-Fatal,Substantial,Airplane,N47442,PIPER,PA-28R-201T,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,0.0,0.0,0.0,3.0,VMC,Cruise,Probable Cause,13-01-1983,1982-01-13,Minor,1,2,OK
86,20020917X01996,Accident,FTW82DA040,1982-01-13,HOBBS NM,UNITED STATES,Non-Fatal,Substantial,Airplane,N2396W,BEECH,A23-24,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,0.0,0.0,0.0,4.0,VMC,Takeoff,Probable Cause,13-01-1983,1982-01-13,Minor,1,2,NM
87,20020917X02575,Accident,SEA82DA017,1982-01-13,SPOKANE WA,UNITED STATES,Non-Fatal,Substantial,Airplane,N36PB,PIPER,PA-31-350,No,2.0,Reciprocating,Part 135: Air Taxi & Commuter,NSCH,Unknown,0.0,0.0,0.0,2.0,IMC,Approach,Probable Cause,13-01-1983,1982-01-13,Minor,1,2,WA
88,20020917X01966,Accident,DEN82FA018,1982-01-15,28 MI ENE OGDEN UT,UNITED STATES,Fatal,Destroyed,Airplane,N6520Y,CESSNA,T210N,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,3.0,0.0,0.0,0.0,VMC,Climb,Probable Cause,15-01-1983,1982-01-15,Fatal,3,3,UT
90,20020917X02395,Accident,MIA82DKJ03,1982-01-15,MALONE FL,UNITED STATES,Non-Fatal,Substantial,Airplane,N5559T,CESSNA,172,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,15-01-1983,1982-01-15,Minor,1,2,FL
92,20020917X02576,Accident,SEA82DA018,1982-01-15,SPOKANE WA,UNITED STATES,Non-Fatal,Substantial,Airplane,N72901,CESSNA,140,No,1.0,Reciprocating,Part 91: General Aviation,,Unknown,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause,15-01-1983,1982-01-15,Minor,1,2,WA
94,20020917X01780,Accident,CHI82DA027,1982-01-15,ANOKA MN,UNITED STATES,Non-Fatal,Substantial,Airplane,N300JR,BEECH,C-45H,No,2.0,Reciprocating,Part 91: General Aviation,,Unknown,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,15-01-1983,1982-01-15,Minor,1,2,MN
97,20020917X02487,Accident,NYC82DA023,1982-01-16,SWANTON VT,UNITED STATES,Non-Fatal,Substantial,Airplane,N704KE,CESSNA,150M,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,0.0,0.0,0.0,1.0,VMC,Go-around,Probable Cause,16-01-1983,1982-01-16,Minor,1,2,VT
98,20020917X02321,Accident,LAX82FVG14,1982-01-17,DAVIS CA,UNITED STATES,Fatal,Destroyed,Airplane,N63182,CESSNA,150M,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,1.0,0.0,0.0,0.0,IMC,Takeoff,Probable Cause,17-01-1983,1982-01-17,Fatal,3,3,CA
100,20020917X02294,Accident,LAX82FUJ24,1982-01-17,SUNFLOWER AZ,UNITED STATES,Non-Fatal,Destroyed,Airplane,N7383S,CESSNA,182P,No,1.0,Reciprocating,Part 91: General Aviation,,Unknown,0.0,0.0,1.0,0.0,VMC,Other,Probable Cause,17-01-1983,1982-01-17,Minor,1,3,AZ
102,20020917X02142,Accident,FTW82FRG21,1982-01-17,PORT MANSFIELD TX,UNITED STATES,Fatal,Destroyed,Airplane,N9181Y,PIPER,PA-31,No,2.0,Reciprocating,Part 91: General Aviation,,Unknown,1.0,0.0,0.0,0.0,VMC,Approach,Probable Cause,17-01-1983,1982-01-17,Fatal,3,3,TX
103,20020917X01967,Accident,DEN82FA020,1982-01-17,DELTA UT,UNITED STATES,Non-Fatal,Destroyed,Airplane,N91TW,PIPER,PA-31T,No,2.0,Turbo Prop,Part 91: General Aviation,,Personal,0.0,0.0,3.0,0.0,VMC,Maneuvering,Probable Cause,17-01-1983,1982-01-17,Minor,1,3,UT
104,20020917X01721,Accident,ATL82FA035,1982-01-17,PICAYUNE MS,UNITED STATES,Fatal,Destroyed,Airplane,N654T,BEECH,F50,No,2.0,Reciprocating,Part 91: General Aviation,,Unknown,2.0,0.0,0.0,0.0,VMC,Takeoff,Probable Cause,17-01-1983,1982-01-17,Fatal,3,3,MS
105,20020917X01624,Accident,ANC82DA014,1982-01-17,ANCHORAGE AK,UNITED STATES,Non-Fatal,Destroyed,Airplane,N63516,CESSNA,150,No,1.0,Reciprocating,Part 91: General Aviation,,Instructional,0.0,0.0,1.0,1.0,VMC,Takeoff,Probable Cause,17-01-1983,1982-01-17,Minor,1,3,AK
106,20020917X01914,Accident,DEN82DA019,1982-01-17,CEDAR CITY UT,UNITED STATES,Non-Fatal,Substantial,Airplane,N2600Y,CESSNA,180E,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,0.0,0.0,0.0,1.0,VMC,Maneuvering,Probable Cause,17-01-1983,1982-01-17,Minor,1,2,UT
107,20020917X01645,Accident,ANC82DAG15,1982-01-17,TULUKSAK AK,UNITED STATES,Non-Fatal,Substantial,Airplane,N3574D,CESSNA,170B,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,17-01-1983,1982-01-17,Minor,1,2,AK
109,20020917X02624,Accident,SEA82FYM08,1982-01-18,ORCHARDS WA,UNITED STATES,Non-Fatal,Destroyed,Airplane,N2127W,BEECH,C23,No,1.0,Reciprocating,Part 91: General Aviation,,Business,0.0,2.0,2.0,0.0,VMC,Descent,Probable Cause,18-01-1983,1982-01-18,Serious,2,3,WA
110,20020917X02257,Accident,LAX82FA047,1982-01-18,DOWNIEVILLE CA,UNITED STATES,Fatal,Destroyed,Airplane,N5295R,CESSNA,172M,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,1.0,0.0,0.0,0.0,IMC,Cruise,Probable Cause,18-01-1983,1982-01-18,Fatal,3,3,CA
111,20020917X01723,Accident,ATL82FA039,1982-01-18,BLAIRSVILLE GA,UNITED STATES,Fatal,Destroyed,Airplane,N4583J,PIPER,PA-28-180,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,3.0,0.0,0.0,0.0,IMC,Cruise,Probable Cause,18-01-1983,1982-01-18,Fatal,3,3,GA
112,20020917X01999,Accident,FTW82DA045,1982-01-18,S.E. OF HOUMA LA,UNITED STATES,Non-Fatal,Substantial,Airplane,N2705K,CESSNA,180K,No,1.0,Reciprocating,Part 91: General Aviation,,Business,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause,18-01-1983,1982-01-18,Minor,1,2,LA
113,20020917X01722,Accident,ATL82FA037,1982-01-18,MADISON COUNTY AL,UNITED STATES,Fatal,Substantial,Airplane,N641CH,CESSNA,210L,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,4.0,0.0,0.0,0.0,IMC,Approach,Probable Cause,18-01-1983,1982-01-18,Fatal,3,2,AL
115,20020917X02121,Accident,FTW82FPJ12,1982-01-19,STILLWATER OK,UNITED STATES,Fatal,Destroyed,Airplane,N4438D,BEECH,G35,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,2.0,0.0,0.0,0.0,IMC,Maneuvering,Probable Cause,19-01-1983,1982-01-19,Fatal,3,3,OK
116,20020917X01978,Accident,DEN82FTA09,1982-01-19,WOLF PT. MT,UNITED STATES,Fatal,Destroyed,Airplane,N35147,CESSNA,177B,No,1.0,Reciprocating,Part 91: General Aviation,,Business,1.0,2.0,0.0,0.0,UNK,Cruise,Probable Cause,19-01-1983,1982-01-19,Fatal,3,3,MT
120,20020917X02490,Accident,NYC82DA026,1982-01-19,SOMERSET PA,UNITED STATES,Non-Fatal,Substantial,Airplane,N8043J,PIPER,AEROSTAR 601P,No,2.0,Reciprocating,Part 91: General Aviation,,Executive/corporate,0.0,0.0,0.0,2.0,VMC,Takeoff,Probable Cause,19-01-1983,1982-01-19,Minor,1,2,PA
121,20020917X02488,Accident,NYC82DA024,1982-01-19,ENFIELD NH,UNITED STATES,Non-Fatal,Substantial,Airplane,N68292,CESSNA,152,No,1.0,Reciprocating,Part 91: General Aviation,,Instructional,0.0,0.0,0.0,1.0,VMC,Cruise,Probable Cause,19-01-1983,1982-01-19,Minor,1,2,NH
122,20020917X02425,Accident,MKC82DA018,1982-01-19,TOPEKA KS,UNITED STATES,Non-Fatal,Substantial,Airplane,N52757,CESSNA,182P,No,1.0,Reciprocating,Part 91: General Aviation,,Aerial Observation,0.0,0.0,1.0,1.0,VMC,Cruise,Probable Cause,19-01-1983,1982-01-19,Minor,1,2,KS
123,20020917X02424,Accident,MKC82DA017,1982-01-19,URBANDALE IA,UNITED STATES,Non-Fatal,Substantial,Airplane,N1969Q,CESSNA,177RG,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,0.0,0.0,0.0,2.0,VMC,Climb,Probable Cause,19-01-1983,1982-01-19,Minor,1,2,IA
125,20020917X02160,Accident,LAX82DA043,1982-01-19,SANTA MONICA CA,UNITED STATES,Non-Fatal,Substantial,Airplane,N9255X,CESSNA,182E,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,19-01-1983,1982-01-19,Minor,1,2,CA
